address,assigned_area
100 King Str,Charleston
1122 Sea Eagle Watch,James Island
1124 Kentwood Circle,West Ashley
1258 Caperton Way,West Ashley
1263 Harbor View Rd,James Island
1367 Parkshore Drive,West Ashley
13 Timmerman Drive,James Island
1425 Ashley Gardens Boulevard,West Ashley
1465 Saint Hubert Way,James Island
148 Line St,Charleston
150 Brogun lane,West Ashley
1618 evergreen street,West Ashley
1621 culpepper,West Ashley
16 Sheppard St,Charleston
1723 River Front,James Island
176 peachtree,West Ashley
178 Sea Cotton Cir,James Island
1809 Shelter Cove,James Island
1898 Ashley Hall Rd,West Ashley
18 Broad str,Charleston
19 Arabian Drive,West Ashley
1 Live Oak,James Island
2045 Egret lane,James Island
205 Marsh Oaks Dr,James Island
207 Saint Margaret st,Charleston
2091 marsh flower lane,James Island
2109 Virginia Oak Court,West Ashley
210 Gordon St,Charleston
2 1/2 Larnes st,Charleston
212. Magnolia Rd,West Ashley
212 north ainsdale dr,West Ashley
2147 Pinehurst Dr,West Ashley
214 President street,Charleston
"215 east bay , suite 203 E",Charleston
21 Rivers Point Row,West Ashley
2202 caisson ct,James Island
"229 Plymouth Avenue,",West Ashley
2332 Treescape Dr. Apt. 1,West Ashley
234 Rutledge Ave Unit C,Charleston
23 Hunters Forest Dr,West Ashley
24 State St,Charleston
25 Ashley Ave,Charleston
2643 Elissa Dr,West Ashley
2769 -1 Jobee drive,West Ashley
"2920 Glenarden Dr, SC 29414",West Ashley
29 Pitt St,Charleston
3046 Moonlight Drive,West Ashley
309 Meeting st,Charleston
310 Herrin Watch Ct,James Island
31 Wedgepark Rd,West Ashley
3485 Forest Glen Drive,West Ashley
35 Crosscreek Dr,West Ashley
35 Crosscreek Dr,West Ashley
35 Crosscreek Dr,West Ashley
35 S Hampton Dr,West Ashley
38  Queen st,Charleston
437 Planters Trace Dr,West Ashley
452 Cabrill Drive,West Ashley
4 George St.,Charleston
527 Elizabeth Lane West,West Ashley
5 Brisbane dr.,West Ashley
5 Glenwood av,Charleston
6084 fieldstone circle,West Ashley
624 Parrot Point Drive,James Island
625 St. Andrews,West Ashley
635 Parish Rd,West Ashley
674 Lake Francesdr,West Ashley
682 King street,Charleston
6 Fairfax Court,West Ashley
700 Daniel Ellis  Dr,James Island
73 Warren St,Charleston
74 1/2 Cannon Street,Charleston
773 Condon Dr.,West Ashley
78 Devereaux Ave,Charleston
7 Logan Street Apt D,Charleston
806 channel court,James Island
914-B East Estates Blvd,West Ashley
928 Poul Revere Dr.,West Ashley
94 Kings Mill Ct,West Ashley
975 Yorktown dr,West Ashley
